OD,strain,ODb,biomass,time,carbon
0.524,ptsG,0.48781284153005444,0.001946373237704917,14.238888888888889,s
0.528,ptsG,0.49181284153005445,0.001962333237704917,14.488888888888889,s
0.553,ptsG,0.5168128415300545,0.002062083237704917,14.738888888888889,s
0.568,ptsG,0.5318128415300544,0.002121933237704917,14.988888888888889,s
0.554,ptsG,0.5178128415300545,0.0020660732377049172,15.238888888888889,s
0.562,ptsG,0.5258128415300545,0.002097993237704917,15.488888888888889,s
0.566,ptsG,0.5298128415300544,0.002113953237704917,15.738888888888889,s
0.578,ptsG,0.5418128415300544,0.002161833237704917,15.988888888888889,s
0.592,ptsG,0.5558128415300544,0.002217693237704917,16.23888888888889,s
0.601,ptsG,0.5648128415300544,0.0022536032377049172,16.48888888888889,s
0.609,ptsG,0.5728128415300544,0.002285523237704917,16.73888888888889,s
0.61,ptsG,0.5738128415300544,0.002289513237704917,16.98888888888889,s
0.616,ptsG,0.5798128415300544,0.002313453237704917,17.238888888888887,s
0.619,ptsG,0.5828128415300544,0.002325423237704917,17.488888888888887,s
0.625,ptsG,0.5888128415300544,0.002349363237704917,17.738888888888887,s
0.629,ptsG,0.5928128415300544,0.0023653232377049173,17.988888888888887,s
0.626,ptsG,0.5898128415300544,0.0023533532377049173,18.238888888888887,s
0.619,ptsG,0.5828128415300544,0.002325423237704917,18.488888888888887,s
0.615,ptsG,0.5788128415300544,0.0023094632377049173,18.738888888888887,s
0.61,ptsG,0.5738128415300544,0.002289513237704917,18.988888888888887,s
0.608,ptsG,0.5718128415300544,0.002281533237704917,19.238888888888887,s
0.604,ptsG,0.5678128415300544,0.0022655732377049173,19.488888888888887,s
0.603,ptsG,0.5668128415300544,0.002261583237704917,19.738888888888887,s
0.599,ptsG,0.5628128415300544,0.002245623237704917,19.988888888888887,s
0.597,ptsG,0.5608128415300544,0.002237643237704917,20.238888888888887,s
0.593,ptsG,0.5568128415300544,0.002221683237704917,20.488888888888887,s
0.591,ptsG,0.5548128415300544,0.002213703237704917,20.738888888888887,s
0.588,ptsG,0.5518128415300544,0.002201733237704917,20.988888888888887,s
0.586,ptsG,0.5498128415300544,0.002193753237704917,21.238888888888887,s
0.584,ptsG,0.5478128415300544,0.0021857732377049167,21.488888888888887,s
0.583,ptsG,0.5468128415300544,0.002181783237704917,21.738888888888887,s
0.58,ptsG,0.5438128415300544,0.002169813237704917,21.988888888888887,s
0.579,ptsG,0.5428128415300544,0.002165823237704917,22.238888888888887,s
0.576,ptsG,0.5398128415300544,0.002153853237704917,22.488888888888887,s
0.574,ptsG,0.5378128415300544,0.002145873237704917,22.738888888888887,s
0.574,ptsG,0.5378128415300544,0.002145873237704917,22.988888888888887,s
0.573,ptsG,0.5368128415300544,0.0021418832377049168,23.238888888888887,s
0.571,ptsG,0.5348128415300544,0.002133903237704917,23.488888888888887,s
0.569,ptsG,0.5328128415300544,0.002125923237704917,23.738888888888887,s
0.568,ptsG,0.5318128415300544,0.002121933237704917,23.988888888888887,s
0.567,ptsG,0.5308128415300544,0.0021179432377049167,24.238888888888887,s
0.565,ptsG,0.5288128415300544,0.0021099632377049172,24.488888888888887,s
0.564,ptsG,0.5278128415300544,0.0021059732377049166,24.738888888888887,s
0.563,ptsG,0.5268128415300544,0.002101983237704917,24.988888888888887,s
0.563,ptsG,0.5268128415300544,0.002101983237704917,25.238888888888887,s
