OD,strain,ODb,biomass,time,carbon
0.039,ptsG,0.002603825136611726,1.0389262295080787e-05,6.238888888888889,g
0.039,ptsG,0.002603825136611726,1.0389262295080787e-05,6.488888888888889,g
0.039,ptsG,0.002603825136611726,1.0389262295080787e-05,6.738888888888889,g
0.039,ptsG,0.002603825136611726,1.0389262295080787e-05,6.988888888888889,g
0.04,ptsG,0.003603825136611727,1.4379262295080789e-05,7.238888888888889,g
0.04,ptsG,0.003603825136611727,1.4379262295080789e-05,7.488888888888889,g
0.04,ptsG,0.003603825136611727,1.4379262295080789e-05,7.738888888888889,g
0.04,ptsG,0.003603825136611727,1.4379262295080789e-05,7.988888888888889,g
0.04,ptsG,0.003603825136611727,1.4379262295080789e-05,8.238888888888889,g
0.041,ptsG,0.004603825136611728,1.8369262295080797e-05,8.488888888888889,g
0.041,ptsG,0.004603825136611728,1.8369262295080797e-05,8.738888888888889,g
0.041,ptsG,0.004603825136611728,1.8369262295080797e-05,8.988888888888889,g
0.041,ptsG,0.004603825136611728,1.8369262295080797e-05,9.238888888888889,g
0.041,ptsG,0.004603825136611728,1.8369262295080797e-05,9.488888888888889,g
0.042,ptsG,0.005603825136611729,2.2359262295080797e-05,9.738888888888889,g
0.042,ptsG,0.005603825136611729,2.2359262295080797e-05,9.988888888888889,g
0.042,ptsG,0.005603825136611729,2.2359262295080797e-05,10.238888888888889,g
0.043,ptsG,0.006603825136611723,2.6349262295080774e-05,10.488888888888889,g
0.043,ptsG,0.006603825136611723,2.6349262295080774e-05,10.738888888888889,g
0.044,ptsG,0.0076038251366117235,3.0339262295080775e-05,10.988888888888889,g
0.044,ptsG,0.0076038251366117235,3.0339262295080775e-05,11.238888888888889,g
0.045,ptsG,0.008603825136611724,3.432926229508078e-05,11.488888888888889,g
0.045,ptsG,0.008603825136611724,3.432926229508078e-05,11.738888888888889,g
0.045,ptsG,0.008603825136611724,3.432926229508078e-05,11.988888888888889,g
0.046,ptsG,0.009603825136611725,3.831926229508079e-05,12.238888888888889,g
0.047,ptsG,0.010603825136611726,4.230926229508079e-05,12.488888888888889,g
0.047,ptsG,0.010603825136611726,4.230926229508079e-05,12.738888888888889,g
0.048,ptsG,0.011603825136611727,4.629926229508079e-05,12.988888888888889,g
0.049,ptsG,0.012603825136611728,5.0289262295080796e-05,13.238888888888889,g
0.049,ptsG,0.012603825136611728,5.0289262295080796e-05,13.488888888888889,g
0.05,ptsG,0.013603825136611729,5.4279262295080797e-05,13.738888888888889,g
0.051,ptsG,0.014603825136611723,5.826926229508077e-05,13.988888888888889,g
0.052,ptsG,0.015603825136611724,6.225926229508077e-05,14.238888888888889,g
0.053,ptsG,0.016603825136611725,6.624926229508078e-05,14.488888888888889,g
0.054,ptsG,0.017603825136611725,7.023926229508079e-05,14.738888888888889,g
0.057,ptsG,0.020603825136611728,8.22092622950808e-05,14.988888888888889,g
0.056,ptsG,0.019603825136611727,7.821926229508079e-05,15.238888888888889,g
